legal_name,purpose
Molkenthin & Hennings GmbH Wirtschaftsprüfungsgesellschaft,Die für Wirtschaftsprüfungsgesellschaften gesetzlich und berufsrechtlich zulässigen Tätigkeiten gemäß § 2 WPO in Verbindung mit § 43 a Abs. 4 WPO. Handels- und Bankgeschäfte sind ausgeschlossen.
OVH GmbH,"- Internetservice, - Informatikingenieurie, - Erbringung von allen mit dem Internet und dem Hosting in Verbindung stehenden Leistungen, - Analyse und Entwicklung von Software und Programmen sowie deren Wartung und Weiterentwicklung, - Verkauf und Vermietung von dedizierten Maschinen, - Verkauf von Domainadressen, - Housing und Domainverwaltung, - Peering und Administration, sowie sämtliche mit diesen Tätigkeiten zusammenhängenden und den Gesellschaftszweck fördernden Geschäfte."
Langmaack Möbel nach Maß Gesellschaft mit beschränkter Haftung,"Handel mit Waren aller Art, insbesondere mit Wohnungseinrichtungen. Die Gesellschaft kann sich an anderen Unternehmen beteiligen und die Geschäftsführung anderer Unternehmen übernehmen. Die Gesellschaft kann Zweigniederlassungen errichten. Die Gesellschaft darf auch die Verwaltung und Geschäftsführung einer Kommanditgesellschaft übernehmen."
Citrobits GmbH,"Software- und Hardwareentwicklung für Hochleistungsrechner, eingebettete Systeme und Hardwarebeschleuniger."
Pass Testing Solutions GmbH,"Entwicklung und Vertrieb von Testgeräten, Testlösungen und ergänzender Hard- und Software."
Kollmeder Service GmbH,"Beratung von Unternehmen, Hausverwaltung, Hausmeisterdienste, Errichtung, Vermarktung und Betrieb von Stromerzeugungsanlagen, Erwerb, Halten und Veräußerung von Beteiligungen aller Art, Übernahme der Komplementärstellung in anderen Gesellschaften, Verwaltung eigenen Vermögens."
Café Berger GmbH,"Der Betrieb eines Gastronomieunternehmens, insbesondere eines Café-Betriebes sowie jede sonstige gewerbliche Betätigung, soweit sie den Betrieb eines vollkaufmännischen Handelsgewerbes erfordert."
Stein GmbH,Die Installation von Sanitär- Heizung- und Klima
K54 GmbH,"Export von Personenkraftwagen und Lastkraftwagen sowie Autozubehör, Damen- und Herrenkleidung, Schuhen, Accessoires und Bijouterie; Import von Baustoffen; Beratung und Vermittlung von Baudienstleistungen; nationale und internationale Logistik"
Synficiency GmbH,"Der Gegenstand des Unternehmens ist die Entwicklung, der Vertrieb und der Betrieb von Soft- und Hardware in Form von IT- Solutions, IT-Produktlizenzen und IT- Services sowie Unternehmensberatungen aller Art. Des Weiteren ist der Erwerb und die Verwaltung von Beteiligungen an Gesellschaften jeglicher Art sowie der Erwerb, die Vermietung und die Verwaltung von Immobilien und Grundstücken Gegenstand des Unternehmens."
CapRate Brücke 1 GmbH,"Der Erwerb, die Errichtung und die Verwaltung von Immobilien in Berlin."
United Parcel Service Deutschland Inc.,"Beförderung und Spedition von Gütern aller Art im In- und Ausland, insbesondere der Bundesrepublik Deutschland und West- Berlin, mit Ausnahme des Güterfernverkehrs, sowie alle sonstigen damit zusammenhängenden Dienstleistungen und Geschäfte, die diesem Zweck dienlich und nützlich sind. Die Gesellschaft darf alle Rechtshandlungen vornehmen und sämtliche Tätigkeiten ausüben, für die nach dem Gesellschaftsrecht des Staates Delaware Gesellschaften gegründet werden können."
JKS-Handelsgesellschaft mbH,"Der Handel mit Waren sowie der An- und Verkauf und die Vermarktung von gewerblichen Schutzrechten. Handel mit Kraftfahrzeugen aller Art, Vermieten und Verleasen von Fahrzeugen aller Art."
Pizza Delivery Bayern GmbH,Der Betrieb eines Pizzalieferservices.
Flues Beteiligungsgesellschaft mbH,"Gegenstand des Unternehmens ist die Beteiligung als persönlich haftende Gesellschafterin an der ""M. Flues GmbH & Co."" mit dem Sitz in Wuppertal, deren Gegenstand die Herstellung und der Vertrieb von Leder- und sonstiger Bekleidung ist. Die Gesellschaft kann gleichartige oder ähnliche Unternehmen gründen, erwerben oder sich an solchen beteiligen."
SOMITAS Kranken- und Altenpflege GmbH,Errichtung und Betrieb von ambulanten und stationären Einrichtungen der Kranken- und Altenpflege.
Johangela gemeinnützige UG (haftungsbeschränkt),"Die Gesellschaft verfolgt ausschließlich und unmittelbar gemeinnützige Zwecke im Sinne des Abschnitts ""Steuerbegünstigte Zwecke"" der Abgabenordnung (AO). Zweck der Gesellschaft ist die Unterstützung hilfsbedürftiger Personen. Der Satzungszweck der Gesellschaft wird verwirklicht durch: - Durchführung von ambulant betreuten Wohnen gemäß §§ 53, 54 Abs. I, SGB XII in Verbindung mit §§ 55, SGB IX. - Durchführung von Schuldnerberatung gemäß §§ 16a Nr. 2 SGB II - Durchführung von psychosozialen Beratung gemäß §§ 16a Nr.3 SGB II - Durchführung von Suchtberatung gemäß §§ 16a Nr. 4 SGB II - Durchführung einer Erziehungsberatung gemäß §§ 28 ff. SGB VIII - Durchführung von Veranstaltungen, die das Bewusstsein in der Öffentlichkeit zu den Problemen der psychischen Erkrankungen von jungen Erwachsenen und Eltern mit vorliegender psychiatrischer Erkrankung fördert, - Kooperationen mit bestehenden Einrichtungen der psychiatrischen Versorgung zur Betreuung von betroffenen jungen Heranwachsenden und Elternteilen, - Organisation und Bereitstellung von qualifizierten Hilfsangeboten für junge Erwachsene und Elternteilen mit vorliegender psychischer oder seelischer Erkrankung, denen aufgrund ihrer seelischen Beeinträchtigungen Eingliederungshilfe gewährt werden kann. - Bereitstellung wissenschaftlicher Begleitung bei der Durchführung von Hilfsangeboten für junge Erwachsene, sowie Elternteilen mit psychischer oder seelischer Beeinträchtigung, - Die Gesellschaft übernimmt Betreuungen von Erwachsenen, hilfsbedürftiger Personen im Rahmen und Bestimmungen des Betreuungsrechts (§1896 ff. BGB), dazu Hilfsmaßnahmen im Sinne des Sozialgesetzbuches durch die Arbeit der fachlich geeigneten Vereinsfachkräfte, welche durch ehrenamtliche und gesetzliche Betreuer gemäß Vorschriften und herrschenden Gesetze handeln. - Die Tätigkeit ist die Betreuung und die selbstlose, tätige Hilfe hilfsbedürftiger Personen infolge der psychischen und sozialen Situation oder einer körperlichen, geistigen oder seelischen Behinderung, welche auf die Hilfe anderer Personen angewiesen sind, oder - nicht mehr - allein besorgen können. Dem Zweck entsprechend kann Beratung und Mediation in familiären Hilfestellungen geleistet werden. - Förderung von Verbraucherberatung und Verbraucherschutz mit dem Schwerpunkt, Menschen, die durch Ver- oder Überschuldung in eine Lebenskrise geraten sind, Wege aus ihrer Notsituation aufzuzeigen und sie bei notwendigen Entschuldungsmaßnahmen zu unterstützen."
Miller's Gastronomie Holding UG (haftungsbeschränkt),"Halten von Gesellschaftsbeteiligungen, insbesondere der Komplementärbeteiligung an der Firma Miller's Gastronomie UG & Co. KG mit Sitz in Neuss und Übernahme der persönlichen Haftung in dieser Gesellschaft"
Jansen Immobilien GmbH,An- und Verkauf von Grundstücken und grundstücksgleichen Rechten und die Bebauung von Grundstücken. Genehmigungspflichtige Tätigkeiten i.S.v. § 34 c GewO werden nicht ausgeübt.
OMNIA-Schulverwaltungssoftware UG (haftungsbeschränkt),"Die Erstellung, Pflege, Verkauf, Vermietung und/oder Lizenzierung bzw. Lizenzverkauf von Schulverwaltungssoftware und schulnaher Software. Darin enthalten ist auch ggf. die Durchführung von entsprechenden Schulungen."
Gebr. Hochreiter Verwaltungs GmbH,Übernahme der Geschäftsführung und persönlichen Haftung bei der Firma Gebr. Hochreiter GmbH & Co. KG mit dem Sitz in Inzell.
Impact Mode & Textil Handels GmbH,Der Handel mit Damen- und Herrenoberbekleidung und Stoffen sowie sämtlichem Textilzubehör für die Konfektion.
Zago-Bachhausen Kölner Maßkleidungsmanufaktur UG (haftungsbeschränkt),der Vertrieb von Maßkleidung.
Wieres Motorrad-Zubehör GmbH,der Handel mit und die Herstellung von Motorradzubehörteilen aller Art
Bellini Casinobetriebe & Catering Service Verwaltungs-GmbH,Übernahme der persönlichen Haftung und Geschäftsführung bei der Bellini Casinobetriebe & Catering Service KG mit dem Sitz in 76829 Landau
Ponte Vecchio Consult Deutschland GmbH,Die Produktion und der Vertrieb technischen Zubehörs für Nutzfahrzeuge und fahrende Arbeitsmaschinen in Deutschland und Europa als Tochter und in Lizenz der Ponte Vecchio Consult GmbH (Schweiz). Sie betreibt Forschung und Entwicklung im Auftrage Dritter.
Bauservice Lehmann GmbH,"Die Ausführung von Maurer- und Betonbauarbeiten, Betonstein-, Terrazzo, Fliesen-, Platten-, Mosaik- und Estrichverlegearbeiten, der Einbau von genormten Baufertigteilen, Holz- und Bautenschutzgewerbe, Betonbohrer und - schneider, Bauentrocknungsgewerbe, Kabelverleger im Hochbau, Rammgewerbe, Eisenflechter, Asphaltierer, Bodenleger, Fuger, Abbrucharbeiten, Tiefbau- und Erdarbeiten, Pflasterarbeiten, Hausmeisterdienste, Trockenbau, Pflege von Pool- und Außenanlagen."
Shoes & The City GmbH,"Groß- und Einzelhandel mit Schuhen, Textilien, Accessoires sowie verwandten Warengruppen; Produktion, Handel und Vertrieb der genannten Warengruppen im In- und Ausland und über das Internet, Handelsvertretung sowie Vermittlung von Handelsgeschäften von Waren aller Art; Franchising und damit verbundene Beratungs-, Verkaufsförderungs- und Koordinierungsleistungen"
Classy Vaper LTD,"Verkauf von e-Liquids, e-Zigaretten und Zubehör sowie alle damit zusammenhängenden Tätigkeiten."
Baumaschinen Lohsa GmbH,"Handel mit Maschinen und Gerätschaften aller Art, insbesondere mit Land-, Bau- und forstwirtschaftlichen Maschinen und Gerätschaften; Vermietung von Maschinen und Gerätschaften aller Art, insbesondere von Land-, Bau- und forstwirtschaftlichen Maschinen und Gerätschaften; Durchführung von Reparaturarbeiten an Maschinen und Gerätschaften aller Art, insbesondere von Land-, Bau- und forstwirtschaftlichen Maschinen und Gerätschaften; Durchführung von Arbeiten mit Land-, Bau- und forstwirtschaftlichen Maschinen und Gerätschaften, soweit sie keiner gesonderten Genehmigung bedürfen, sowie alle mit diesen Zwecken in Zusammenhang stehende Geschäfte"
Honold Gerätelogistik GmbH,Betrieb einer Spedition sowie die Erbringung von logistischen Leistungen aller Art.
Fritz Homann GmbH,Beteiligung an anderen Unternehmen sowie deren Betreuung.
D & D Unternehmensberatungs GmbH,"Buchhaltung, Lohnbuchhaltung und Unternehmensberatung."
Friedländer Bauhof GmbH,Planung und Durchführung von - Hoch- und Tiefbauarbeiten - Stahlbeton- und Stahlmontage - Sprengungen und Abbrucharbeiten - Dachdecker- und Dachklempnerarbeiten
Tongda GmbH,der Im- und Export sowie der Handel und Vertrieb von Maschinen und Materialien zur Herstellung und Montage von Fenstern.
Bau & Sanierungs GmbH,Die Erbringung von Bauleistungen aller Art.
MT-Verwaltungs GmbH,"Die Übernahme der Haftung und Geschäftsführung als persönlich haftende Gesellschafterin der MT-GmbH & Grundbesitz KG, mit dem Sitz in 87679 Westendorf, OT Dösingen, Keltereistr. 8."
LandStrom Energietechnik GmbH,"Die Planung, Beratung, Verkauf, Installation durch Dirtte und Betreiben von Solar- Anlagen sowie der Vertrieb und Import von Solarmodulen, Wechselrichtern, Befestigungssystemen, Kabeln, Zubehör und Elektroartikeln."
TD Bau GmbH,Trockenbau
T & A GmbH,Der Betrieb eines oder mehrerer Restaurants und der Betrieb eines Friseursalons sowie der Handel mit haarkosmetischen Produkten.
Wieben Erschließungsgesellschaft mbH,"Gegenstand des Unternehmens sind die Planung, Vorbereitung, Durchführung und Projektierung von Erschließungsmaßnahmen aller Art, die Vorbereitung und Durchführung von Bauvorhaben als Bauherr im eigenen Namen für eigene und fremde Rechnung und als Baubetreuer im fremden Namen und für fremde Rechnung sowie die wirtschaftliche und technische Vorbereitung und Durchführung von Bauvorhaben sowie der Handel und die Vermietung und Verpachtung von Immobilien. Die Gesellschaft ist berechtigt, gleiche oder ähnliche Unternehmen zu erwerben oder sich an solchen in jeder Form zu beteiligen, den Geschäftsbetrieb auf verwandte Zweige jeder Art auszudehnen und alle Maßnahmen zu ergreifen, um Geschäfte durchzuführen, die der Erweiterung und Förderung des Gesellschaftszweckes unmittelbar oder mittelbar dienlich sind. Die Gesellschaft ist berechtigt, Zweigniederlassungen im In- und Ausland zu errichten."
Fashion-Star GmbH,Der Groß- und Einzelhandel mit Textilien aller Art.
Mondottica Deutschland GmbH,"Vertrieb von Brillengestellen, insbesondere der Firma Mondottica Limited, im gesamten bundesdeutschen Raum."
August Rabeneick Gesellschaft mit beschränkter Haftung,"Der Erwerb, das Halten und das Verwalten von Grundstücken. Die Gesellschaft kann ihren Betrieb auf andere Tätigkeiten ausdehnen, die geeignet sind, den Gesellschaftszweck zu fördern. Die Gesellschaft kann sich an anderen Unternehmen beteiligen, Zweigniederlassungen errichten sowie Interessengemeinschafts-, Organschafts-, einschließlich Gewinnabführungs-Verträge abzuschließen."
Barkhoff & Co. GmbH,"Der Garten- und Landschaftsbau, der Baumschulbetrieb sowie der Groß- und Einzelhandel mit Pflanzen jeder Art und den damit in Verbindung stehenden Artikeln."
